id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GH0633_boti,Boti,Boti,boti,GH0633_boti,6.204,-0.223
GH0633_bukunor,Bukunor,Bukunor,bukunor,GH0633_bukunor,6.23,-0.107
GH0633_huhunya,Huhunya,Huhunya,huhunya,GH0633_huhunya,6.165,-0.179
GH0633_klo-agogo,Klo-Agogo,Klo-Agogo,klo-agogo,GH0633_klo-agogo,6.251,-0.222
GH0633_labolabo,Labolabo,Labolabo,labolabo,GH0633_labolabo,6.12,-0.164
GH0633_new-somanyasra,New Somanya/Sra,New Somanya/Sra,new-somanyasra,GH0633_new-somanyasra,6.099,-0.019
GH0633_nkurakan,Nkurakan,Nkurakan,nkurakan,GH0633_nkurakan,6.124,-0.219
GH0633_nsutapong,Nsutapong,Nsutapong,nsutapong,GH0633_nsutapong,6.277,-0.276
GH0633_obawale,Obawale,Obawale,obawale,GH0633_obawale,6.211,-0.194
GH0633_okornya,Okornya,Okornya,okornya,GH0633_okornya,6.124,-0.205
GH0633_opesika,Opesika,Opesika,opesika,GH0633_opesika,6.22,-0.246
GH0633_otorkpolu,Otorkpolu,Otorkpolu,otorkpolu,GH0633_otorkpolu,6.21,-0.12
GH0633_sawer,Sawer,Sawer,sawer,GH0633_sawer,6.112,-0.006
GH0633_somanya,Somanya,Somanya,somanya,GH0633_somanya,6.13,-0.015
GH0633_sra,Sra,Sra,sra,GH0633_sra,6.102,-0.021
