id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GH1206_adaboya,Adaboya,Adaboya,adaboya,GH1206_adaboya,10.9,-0.734
GH1206_akolpolsiga,Akolpolsiga,Akolpolsiga,akolpolsiga,GH1206_akolpolsiga,10.995,-0.783
GH1206_anafobisi,Anafobisi,Anafobisi,anafobisi,GH1206_anafobisi,10.896,-0.81
GH1206_apatanga,Apatanga,Apatanga,apatanga,GH1206_apatanga,10.92,-0.765
GH1206_atampiisi,Atampiisi,Atampiisi,atampiisi,GH1206_atampiisi,10.91,-0.823
GH1206_balungu,Balungu,Balungu,balungu,GH1206_balungu,10.938,-0.861
GH1206_bembisi,Bembisi,Bembisi,bembisi,GH1206_bembisi,10.926,-0.958
GH1206_beo-tankoo,Beo Tankoo,Beo Tankoo,beo-tankoo,GH1206_beo-tankoo,10.872,-0.761
GH1206_bogrigo,Bogrigo,Bogrigo,bogrigo,GH1206_bogrigo,10.902,-0.786
GH1206_boko,Boko,Boko,boko,GH1206_boko,10.982,-0.831
GH1206_bongo,Bongo,Bongo,bongo,GH1206_bongo,10.914,-0.808
GH1206_bongosoe,Bongo/Soe,Bongo/Soe,bongosoe,GH1206_bongosoe,10.964,-0.782
GH1206_bongowegurugo,Bongo/Wegurugo,Bongo/Wegurugo,bongowegurugo,GH1206_bongowegurugo,10.915,-0.807
GH1206_bugsongonyangolingo,Bugsongo/Nyangolingo,Bugsongo/Nyangolingo,bugsongonyangolingo,GH1206_bugsongonyangolingo,10.971,-0.93
GH1206_dua,Dua,Dua,dua,GH1206_dua,10.881,-0.796
GH1206_feo,Feo,Feo,feo,GH1206_feo,10.988,-0.804
GH1206_gambrongo,Gambrongo,Gambrongo,gambrongo,GH1206_gambrongo,10.899,-0.911
GH1206_goo,Goo,Goo,goo,GH1206_goo,10.927,-0.894
GH1206_gowrie,Gowrie,Gowrie,gowrie,GH1206_gowrie,10.858,-0.843
GH1206_kabre,Kabre,Kabre,kabre,GH1206_kabre,10.944,-0.769
GH1206_kadare,Kadare,Kadare,kadare,GH1206_kadare,10.945,-0.896
GH1206_kodorogo,Kodorogo,Kodorogo,kodorogo,GH1206_kodorogo,10.925,-0.909
GH1206_kunkua,Kunkua,Kunkua,kunkua,GH1206_kunkua,10.876,-0.829
GH1206_manyoro,Manyoro,Manyoro,manyoro,GH1206_manyoro,10.981,-0.99
GH1206_nakolo,Nakolo,Nakolo,nakolo,GH1206_nakolo,10.99,-1.036
GH1206_namoo,Namoo,Namoo,namoo,GH1206_namoo,10.969,-0.848
GH1206_natugnia,Natugnia,Natugnia,natugnia,GH1206_natugnia,10.968,-0.971
GH1206_nayorogo,Nayorogo,Nayorogo,nayorogo,GH1206_nayorogo,10.936,-0.874
GH1206_saporo,Saporo,Saporo,saporo,GH1206_saporo,10.871,-0.744
GH1206_sirigu,Sirigu,Sirigu,sirigu,GH1206_sirigu,10.958,-0.942
GH1206_soe,Soe,Soe,soe,GH1206_soe,10.95,-0.78
GH1206_vea,Vea,Vea,vea,GH1206_vea,10.876,-0.866
GH1206_wagliga,Wagliga,Wagliga,wagliga,GH1206_wagliga,10.871,-0.744
GH1206_yua,Yua,Yua,yua,GH1206_yua,10.979,-0.915
GH1206_zorko,Zorko,Zorko,zorko,GH1206_zorko,10.909,-0.886
