id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
GH1414_agbenorhoe,Agbenorhoe,Agbenorhoe,agbenorhoe,GH1414_agbenorhoe,7.065,0.306
GH1414_anfoega,Anfoega,Anfoega,anfoega,GH1414_anfoega,6.88,0.276
GH1414_aveme-beme,Aveme Beme,Aveme Beme,aveme-beme,GH1414_aveme-beme,6.919,0.265
GH1414_aveme-danyigba,Aveme Danyigba,Aveme Danyigba,aveme-danyigba,GH1414_aveme-danyigba,6.928,0.264
GH1414_awate,Awate,Awate,awate,GH1414_awate,6.869,0.237
GH1414_botoku,Botoku,Botoku,botoku,GH1414_botoku,6.76,0.267
GH1414_gadza,Gadza,Gadza,gadza,GH1414_gadza,7.016,0.319
GH1414_kpando,Kpando,Kpando,kpando,GH1414_kpando,6.993,0.29
GH1414_kpando-torkor,Kpando Torkor,Kpando Torkor,kpando-torkor,GH1414_kpando-torkor,6.999,0.258
GH1414_kpando-ziavi,Kpando Ziavi,Kpando Ziavi,kpando-ziavi,GH1414_kpando-ziavi,6.981,0.289
GH1414_kudzra,Kudzra,Kudzra,kudzra,GH1414_kudzra,6.962,0.34
GH1414_sabadu,Sabadu,Sabadu,sabadu,GH1414_sabadu,6.906,0.248
GH1414_tsrukpe,Tsrukpe,Tsrukpe,tsrukpe,GH1414_tsrukpe,6.796,0.277
GH1414_vakpo,Vakpo,Vakpo,vakpo,GH1414_vakpo,6.857,0.282
GH1414_wusuta,Wusuta,Wusuta,wusuta,GH1414_wusuta,6.836,0.258
